# Wavelength (micron)  Resolving Power
0.524 530.000
0.529 535.152
0.534 540.303
0.539 545.455
0.544 550.606
0.549 555.758
0.554 560.909
0.560 566.061
0.565 571.212
0.570 576.364
0.575 581.515
0.580 586.667
0.585 591.818
0.590 596.970
0.595 602.121
0.600 607.273
0.605 612.424
0.610 617.576
0.615 622.727
0.621 627.879
0.626 633.030
0.631 638.182
0.636 643.333
0.641 648.485
0.646 653.636
0.651 658.788
0.656 663.939
0.661 669.091
0.666 674.242
0.671 679.394
0.676 684.545
0.682 689.697
0.687 694.848
0.692 700.000
0.697 705.152
0.702 710.303
0.707 715.455
0.712 720.606
0.717 725.758
0.722 730.909
0.727 736.061
0.732 741.212
0.737 746.364
0.742 751.515
0.748 756.667
0.753 761.818
0.758 766.970
0.763 772.121
0.768 777.273
0.773 782.424
0.778 787.576
0.783 792.727
0.788 797.879
0.793 803.030
0.798 808.182
0.803 813.333
0.809 818.485
0.814 823.636
0.819 828.788
0.824 833.939
0.829 839.091
0.834 844.242
0.839 849.394
0.844 854.545
0.849 859.697
0.854 864.848
0.859 870.000
0.864 875.152
0.869 880.303
0.875 885.455
0.880 890.606
0.885 895.758
0.890 900.909
0.895 906.061
0.900 911.212
0.905 916.364
0.910 921.515
0.915 926.667
0.920 931.818
0.925 936.970
0.930 942.121
0.936 947.273
0.941 952.424
0.946 957.576
0.951 962.727
0.956 967.879
0.961 973.030
0.966 978.182
0.971 983.333
0.976 988.485
0.981 993.636
0.986 998.788
0.991 1003.939
0.997 1009.091
1.002 1014.242
1.007 1019.394
1.012 1024.545
1.017 1029.697
1.022 1034.848
1.027 1040.000
